Wavelength,Bel-fruit00000.asd,Bel-fruit00001.asd,Bel-fruit00002.asd,Bel-fruit00003.asd,Bel-fruit00004.asd,Bel-fruit00005.asd,Bel-fruit00006.asd,Bel-fruit00007.asd,Bel-fruit00008.asd,Bel-fruit00009.asd
482,0.265317427,0.264762354,0.264968301,0.264964572,0.264591202,0.264275367,0.264672191,0.264443158,0.264385577,0.264895515
483,0.266057736,0.266330634,0.265048753,0.265364542,0.265265187,0.264791476,0.265926208,0.264644812,0.266101342,0.265932233
484,0.266372316,0.265781181,0.265450456,0.265685957,0.265838351,0.265401907,0.265581942,0.2654167,0.266015183,0.266049834
485,0.267107591,0.266724888,0.26666871,0.266590786,0.2663563,0.266175334,0.266272128,0.266509949,0.266358415,0.266626837
486,0.268010026,0.268520811,0.267915659,0.267749842,0.267100054,0.267074025,0.26763354,0.267788114,0.267595949,0.26757821
487,0.268460915,0.268848561,0.268116528,0.268501835,0.26834661,0.268035309,0.268122479,0.26909942,0.26920815,0.268230629
488,0.269720013,0.270141522,0.269920425,0.270106215,0.269326939,0.269367669,0.269444823,0.269805101,0.270015737,0.269412055
489,0.271173122,0.271313162,0.27126847,0.271653448,0.270649183,0.27049187,0.270893053,0.270755619,0.270548732,0.270757301
490,0.272404101,0.272074708,0.271637396,0.272840234,0.272355677,0.271423629,0.27222248,0.27236793,0.271427617,0.272089852
491,0.273620576,0.274030802,0.273793449,0.274716631,0.273310153,0.273309446,0.274386098,0.274145911,0.27311874,0.273755349
492,0.275071632,0.275907168,0.275834204,0.276526206,0.274749493,0.274959864,0.276079528,0.275829048,0.274880645,0.275293526
493,0.276762289,0.277528237,0.277553534,0.278150172,0.276738678,0.276633933,0.277557329,0.27725518,0.276928828,0.276977113
494,0.278633854,0.279110093,0.279270565,0.279711213,0.27892743,0.278799724,0.279392653,0.278521242,0.27941955,0.27911121
495,0.280858201,0.280943471,0.281150227,0.281467198,0.281017879,0.280413308,0.280972565,0.280618432,0.280507773,0.280930746
496,0.283081732,0.282895051,0.282918477,0.283215199,0.283109329,0.282600153,0.282411613,0.283031779,0.282178104,0.282528404
497,0.28508244,0.284977789,0.2847737,0.284967666,0.285179206,0.285259939,0.284127134,0.285222439,0.28476182,0.28425011
498,0.286810265,0.287360164,0.287394711,0.286976861,0.287047023,0.286920656,0.286772762,0.286738095,0.28666241,0.286625647
499,0.289178931,0.289153517,0.289480589,0.289325926,0.288975063,0.288994262,0.289207961,0.288820055,0.289033424,0.289067416
500,0.291403824,0.291289237,0.291553922,0.291787891,0.291151573,0.291689757,0.291535527,0.29141155,0.291616287,0.29131439
