Wavelength,teth_ambada00000.asd,teth_ambada00001.asd,teth_ambada00002.asd,teth_ambada00003.asd,teth_ambada00004.asd,teth_ambada00005.asd,teth_ambada00006.asd,teth_ambada00007.asd,teth_ambada00008.asd,teth_ambada00009.asd
452,0.149898082,0.149717263,0.150155008,0.150128904,0.151011383,0.151027022,0.14995074,0.150303548,0.151669717,0.151206428
453,0.149785602,0.149063464,0.149777529,0.150073193,0.150828298,0.150657636,0.150129975,0.150246549,0.15115504,0.150495749
454,0.149638653,0.14782663,0.149556284,0.1493187,0.149893758,0.14946062,0.149946771,0.149840033,0.150253984,0.149824961
455,0.148602229,0.147989804,0.149061519,0.14870568,0.148694876,0.149051315,0.149628095,0.149106613,0.14987072,0.149513221
456,0.147972577,0.148708212,0.148763844,0.148627443,0.1485714,0.148791594,0.149391556,0.14888373,0.149533836,0.149608954
457,0.147604114,0.149193986,0.14859294,0.148587679,0.148775944,0.148539272,0.148934832,0.148926273,0.149359731,0.149526466
458,0.147279133,0.148906324,0.14838801,0.148217121,0.148562971,0.14826237,0.148163669,0.148883861,0.149369634,0.148946308
459,0.147527181,0.147819272,0.148048639,0.148049869,0.148475796,0.14797052,0.147766274,0.148817201,0.149045945,0.148582782
460,0.147138582,0.147232127,0.147617624,0.147818779,0.148169977,0.148092478,0.148103051,0.148514975,0.148607102,0.14831981
461,0.146721118,0.147138246,0.147280424,0.147644634,0.147736303,0.148233146,0.148462812,0.147806768,0.14834629,0.148263234
462,0.147601842,0.146812204,0.147236117,0.147784206,0.147529349,0.147657096,0.147718689,0.146714767,0.148507639,0.148504926
463,0.147210933,0.146667043,0.14693456,0.147615837,0.147979464,0.147288039,0.147356757,0.146729683,0.148384542,0.14789052
464,0.146493726,0.146379001,0.146845881,0.14730409,0.147900553,0.147097174,0.146849262,0.146938884,0.14809876,0.147134283
465,0.146248795,0.145969275,0.146943154,0.146999913,0.147029025,0.146887091,0.146127062,0.146787359,0.147786407,0.146839486
466,0.146247975,0.146327899,0.14598427,0.14665697,0.147194664,0.146354198,0.146505931,0.146981496,0.147370753,0.147034296
467,0.145803135,0.145996146,0.145258666,0.146007838,0.146899741,0.145906248,0.146455393,0.146861077,0.147347543,0.146914163
468,0.145018708,0.145319207,0.145293684,0.145434032,0.146288127,0.145765964,0.146113051,0.146488156,0.147137721,0.146615808
469,0.144375201,0.145162744,0.145999908,0.145380226,0.146016318,0.145926231,0.14606678,0.146166441,0.146114606,0.146512301
470,0.144472731,0.145251462,0.145537359,0.145146018,0.146155715,0.145504952,0.145719171,0.145915913,0.145777263,0.145994998
471,0.144660298,0.145003907,0.145185999,0.144959215,0.145949741,0.145298061,0.145490818,0.145833491,0.145705446,0.145954862
472,0.144603292,0.14449557,0.145320493,0.144854777,0.14540144,0.145437319,0.145433572,0.145811885,0.145578829,0.146370978
473,0.144447451,0.144592452,0.145002481,0.144569822,0.145465824,0.145146442,0.145094474,0.145508954,0.145355576,0.146052027
474,0.144506597,0.14435124,0.144430929,0.144571185,0.145019796,0.14477459,0.144750342,0.14501751,0.144867473,0.1458329
475,0.144295407,0.143877062,0.143950121,0.144552382,0.144455832,0.144223394,0.144420564,0.144405458,0.144542605,0.145513331
476,0.143559462,0.143490587,0.143833695,0.144203975,0.144353781,0.143563385,0.144155698,0.143905371,0.144715667,0.14488163
477,0.143682327,0.143261954,0.143932159,0.143898532,0.14460895,0.143843741,0.144362041,0.144413133,0.144897001,0.144568627
478,0.143505567,0.14307758,0.144043447,0.143912908,0.144277421,0.144278174,0.144595816,0.144553304,0.144593977,0.144573067
479,0.143024085,0.143064886,0.143865945,0.144148533,0.143755896,0.144308941,0.144694673,0.144139483,0.144132917,0.144572072
480,0.143090122,0.143464568,0.143103206,0.144207084,0.144337965,0.143677739,0.144703477,0.14395356,0.144391986,0.144074132
481,0.142769161,0.143148396,0.142585523,0.14387641,0.143880526,0.143399016,0.144052907,0.144248634,0.144274904,0.143956758
482,0.142430234,0.142980044,0.142594316,0.143410954,0.143589726,0.143665149,0.143482002,0.144293464,0.14429827,0.144197501
483,0.142454348,0.143401129,0.143006291,0.143109358,0.144204694,0.144147621,0.143468588,0.143748846,0.144694176,0.144407488
484,0.142761246,0.142909334,0.143044698,0.143198617,0.143916181,0.143587276,0.143347769,0.143672333,0.144299014,0.143624374
485,0.142939989,0.142725291,0.142777458,0.1431647,0.143484567,0.143363871,0.143055753,0.143452106,0.143935654,0.143144426
486,0.142767735,0.142908584,0.142543836,0.142980545,0.143275839,0.143383597,0.142743076,0.14323871,0.143627656,0.143116772
487,0.142268052,0.142953357,0.142732099,0.142873766,0.143395325,0.142993703,0.142710777,0.143443274,0.143152546,0.143161572
488,0.142462359,0.142625516,0.142645034,0.142992299,0.143089287,0.14326829,0.14335195,0.143463735,0.143530792,0.143562017
489,0.142837737,0.142300578,0.142892178,0.14306138,0.143240522,0.143499589,0.143856403,0.14371457,0.143901907,0.143972371
490,0.142993413,0.142324178,0.143512452,0.143022453,0.14397952,0.143362124,0.143747411,0.144167119,0.143896131,0.144191453
491,0.142976233,0.142917288,0.143402317,0.143252291,0.143953765,0.143436602,0.143213468,0.143896866,0.144281414,0.144345693
492,0.143007147,0.143397939,0.143352115,0.143287142,0.143916997,0.143596228,0.143404419,0.143633338,0.144222745,0.144363493
493,0.143060512,0.143525785,0.14337412,0.143394834,0.144138804,0.14360291,0.143869013,0.143473392,0.143824307,0.144435977
494,0.143064681,0.143366723,0.143312125,0.143883737,0.144583032,0.143357226,0.143836155,0.143410806,0.143572706,0.144721115
495,0.14317083,0.143612507,0.143416762,0.144019329,0.144446634,0.14366176,0.143999293,0.143993619,0.144175972,0.144775423
496,0.143367713,0.14392011,0.14366511,0.144122218,0.144195285,0.144242125,0.144032084,0.144466415,0.144768879,0.144862118
497,0.143622522,0.144072368,0.144011875,0.144299314,0.14413494,0.144839512,0.144002841,0.144597801,0.14514315,0.145054178
498,0.143890729,0.144056386,0.144402492,0.144379693,0.144322629,0.145279301,0.144429047,0.144779152,0.145857985,0.145189808
499,0.144111858,0.144370649,0.144495221,0.144610224,0.144813095,0.145129454,0.14486302,0.144872663,0.145874896,0.145444664
500,0.144423245,0.144736153,0.144654863,0.144992653,0.145275944,0.14492156,0.14514381,0.145122987,0.145701267,0.145720339
501,0.14494492,0.144859493,0.145141174,0.145457165,0.145493052,0.145188119,0.145305494,0.145640329,0.145896789,0.145948169
502,0.145639046,0.144980572,0.145263752,0.145929366,0.145865034,0.145695024,0.145752186,0.145825679,0.14590663,0.146365505
503,0.146079247,0.145409219,0.145767928,0.146277584,0.146464794,0.14639519,0.146397129,0.146204728,0.146356461,0.146808855
504,0.146218617,0.146084708,0.146542327,0.146578314,0.147014865,0.146915833,0.147079569,0.146798883,0.147223108,0.147195013
505,0.146313052,0.146689044,0.1469168,0.147036591,0.147067363,0.146802389,0.147594345,0.147277575,0.148007304,0.14751837
506,0.146856089,0.147270963,0.147297693,0.147550093,0.147341133,0.14768183,0.147953211,0.147662021,0.148403031,0.1480584
507,0.147346981,0.147820281,0.147649543,0.148022574,0.147958254,0.148452141,0.148219959,0.148015569,0.14863178,0.148507635
508,0.147577878,0.148292345,0.147969722,0.148399102,0.148756458,0.148401061,0.148514514,0.148417337,0.148924121,0.148752056
509,0.14835033,0.148516668,0.148464841,0.148651164,0.149156466,0.148525705,0.149080542,0.148960187,0.149284508,0.149284928
510,0.149330354,0.149038605,0.149082448,0.149356331,0.149657457,0.149306857,0.149562927,0.149554907,0.150024486,0.150109091
511,0.150065835,0.149740318,0.149734154,0.150177258,0.150191689,0.150248537,0.150067699,0.150170155,0.150728723,0.150835297
